Game Title,Order,Series,System,Service,Status,Owned,Hr Est,Hr Comp,Comp Date
Assassin's Creed,1,Assassin's Creed,PC,Steam,,X,18,,
Assassin's Creed 2,2,Assassin's Creed,PC,Steam,,X,26,,
Assassin's Creed Brotherhood,3,Assassin's Creed,PC,Steam,,X,24,,
Assassin's Creed Revelations,4,Assassin's Creed,PC,Steam,,X,19,,
Assassin's Creed 3,5,Assassin's Creed,PC,Steam,,X,26,,
Assassin's Creed 4: Black Flag,6,Assassin's Creed,PC,Steam,,,38,,
Assassin's Creed Rogue,7,Assassin's Creed,PC,Steam,,,19,,
Assassin's Creed Unity,8,Assassin's Creed,PC,Uplay,,X,28,,
Assassin's Creed Syndicate,9,Assassin's Creed,PC,Uplay,,X,32,,
Assassin's Creed Origins,10,Assassin's Creed,PC,Steam,,,53,,
Assassin's Creed Odyssey,11,Assassin's Creed,PC,Steam,,,50,,
Assassin's Creed Valhalla,12,Assassin's Creed,PC,,Not Released,,85,,
Animal Crossing: New Horizons,,,Switch,,Complete,X,200,200,4/24/20
Axiom Verge,,,PC,Steam,Abandoned,X,13,,
The Banner Saga,1,Banner Saga,PC,XGP,,,13,,
The Banner Saga 2,2,Banner Saga,PC,XGP,,,14,,
The Banner Saga 3,3,Banner Saga,PC,XGP,,,13,,
Bastion,,,PC,Steam,Priority,X,7,,
Batman: Arkham Asylum,1,Batman,PC,Steam,Complete,,12,8,6/25/17
Batman: Arkham City,2,Batman,PC,Steam,,X,20,,
Batman: Arkham Origins,3,Batman,PC,Steam,,X,18,,
Batman: Arkham Knight,4,Batman,PC,Steam,,X,28,,
Battletech,,,PC,Steam,,,58,,
Bioshock,1,Bioshock,PC,Steam,Priority,X,14,,
Bioshock 2,2,Bioshock,PC,Steam,Priority,X,13,,
Bioshock Infinite,3,Bioshock,PC,Steam,Priority,X,13,,
Bloodstained: Ritual of the Night,,,PC,XGP,,X,15,,
Borderlands,1,Borderlands,PC,Steam,Priority,X,25,,
Borderlands 2,2,Borderlands,PC,Steam,,X,35,,
Borderlands 3,3,Borderlands,PC,Steam,,,30,,
Borderlands: The Pre-sequel,4,Borderlands,PC,Steam,,X,23,,
Celeste,,,Switch,,Complete,X,8,9,6/8/18
Chasm,,,Switch,,,,9,,
Child of Light,,,PC,Steam,Abandoned,X,13,,
Chrono Trigger,,,PC,Steam,Complete,X,27,17,6/12/20
Control,,,PC,Epic,Complete,X,13,15,4/13/20
CrossCode,,,PC,Steam,,,40,,
Crusader Kings III,,Crusader Kings,PC,XGP,,X,62,,
Crypt of the NecroDancer,1,Crypt,Switch,,,,16,,
Cadence of Hyrule,2,Crypt,Switch,,,,6,,
Crysis,1,Crysis,PC,Steam,,X,11,,
Crysis 2,2,Crysis,PC,Steam,,X,11,,
Crysis 3,3,Crysis,PC,Steam,,,12,,
Cuphead,,,Switch,,,,12,,
Cyberpunk 2077,,,PC,,,,30,,
Dragon Age Origins,1,Dragon Age,PC,EA/Origin,Priority,X,57,,
Dragon Age 2,2,Dragon Age,PC,EA/Origin,Priority,X,38,,
Dragon Age Inquisition,3,Dragon Age,PC,EA/Origin,Priority,X,88,,
Demon's Souls,1,Dark Souls,PC,Steam,Priority,,66,,
Dark Souls,2,Dark Souls,PC,Steam,Complete,X,62,29,6/6/19
Dark Souls 2,3,Dark Souls,PC,Steam,Priority,X,60,,
Dark Souls 3,4,Dark Souls,PC,Steam,Priority,X,45,,
Bloodborne,5,Dark Souls,PS4,,Priority,X,48,,
Sekiro: Shadows Die Twice,6,Dark Souls,PC,Steam,Priority,,50,,
Darkest Dungeon,,,PC,Steam,,X,74,,
Dead Cells,,,Switch,,,X,27,,
Dead Space,1,Dead Space,PC,Steam,,X,12,,
Dead Space 2,2,Dead Space,PC,Steam,,X,10,,
Dead Space 3,3,Dead Space,PC,EA/Origin,,X,14,,
Disco Elysium,,,PC,Steam,,,23,,
Disgaea,,,PC,Steam,,X,50,,
Dishonored,1,Dishonored,PC,Steam,,X,14,,
Dishonored 2,2,Dishonored,PC,Steam,,X,15,,
